4883949737694099968  60.838102 -31.494884 0.00600   1.854   63.497 15.416 0.0004 16.072 0.003 14.640 0.002 11655.9913     8.688 0.041     1.270 0.054                  2.308  1.987  0.321 -0.787  8.699 0.047 1.603 1.589  0.025 0.641 0.033 0.013 7 0.102
6797061624556927488 305.261806 -31.194769 0.00234   2.037   47.785 14.649 0.0003 15.157 0.001 13.998 0.001  4134.9905     9.696 0.062   -24.442 0.044                  6.495  6.299  0.196 -0.848  8.647 0.110 2.828 2.828  0.012 0.627 0.042 0.013 7 0.007
1886622800620427392 346.932033  31.152729 0.00457   2.078   78.697 14.555 0.0003 15.084 0.002 13.887 0.001  7916.3036     7.276 0.046   -13.278 0.037                  0.721  0.481  0.240 -0.675  8.641 0.101 0.168 0.168  0.010 0.639 0.027 0.013 7 0.060
3088764248187129728 116.091913   2.920523 0.01316   2.788   55.498 15.917 0.0005 16.853 0.005 14.950 0.001 17000.8557   -11.354 0.085    -2.904 0.046                  1.073  0.166  0.907 -0.715  7.949 0.058 0.052 0.042  0.046 0.651 0.040 0.020 7 0.165
3956523636852700928 193.915823  22.837954 0.00533   1.887   25.741 16.706 0.0009 17.628 0.009 15.761 0.003 10170.8146   -29.893 0.154     2.705 0.092                  1.580  1.532  0.048 -0.720  8.692 0.050 0.946 0.947  0.008 0.641 0.079 0.012 7 0.087
2125307666699191168 272.849879  52.540914 0.00220   2.045   24.667 17.128 0.0010 18.156 0.011 16.127 0.005  3879.7782     5.521 0.164    11.653 0.191                  2.136  2.051  0.085 -0.818  8.546 0.048 1.307 1.310  0.012 0.615 0.080 0.012 7 0.006
1903746903949786112 340.863729  36.200416 0.01041   2.362   22.661 17.025 0.0008 18.052 0.013 16.024 0.002 15861.6939   -10.413 0.100   -18.303 0.142                  1.768  1.502  0.266 -0.741  8.584 0.084 1.099 1.114  0.032 0.651 0.093 0.015 7 0.152
1394056984538667904 232.042285  43.527209 0.00706   1.525   28.056 16.358 0.0007 17.127 0.006 15.508 0.004 16669.8088     0.827 0.081     7.018 0.136                  3.619  3.549  0.070 -0.739  9.158 0.096 2.742 2.740  0.011 0.661 0.075 0.014 7 0.161
4459375040618651776 249.607772  12.172373 0.00525   1.533   24.408 16.651 0.0006 17.481 0.006 15.754 0.002 12319.4187    -3.734 0.079     4.307 0.062                  3.237  3.030  0.208 -0.804  9.201 0.104 2.272 2.278  0.022 0.613 0.081 0.014 7 0.108
1084738181524776448 118.542279  61.030767 0.00538   2.050   90.041 13.298 0.0005 13.635 0.003 12.802 0.002  9445.3025   -11.629 0.035   -12.632 0.032                  5.362  5.143  0.219 -0.784  8.640 0.117 2.476 2.471  0.011 0.626 0.024 0.012 7 0.079
6266570212164191616 232.123434 -13.266187 0.00529   2.556   20.899 16.821 0.0012 17.920 0.019 15.773 0.007  7451.6104    21.145 0.194   -18.654 0.128                  8.043  7.705  0.339 -1.005  8.208 0.070 2.929 2.939  0.020 0.569 0.054 0.012 7 0.053
5681379479269968128 140.158744 -18.935185 0.00266   2.296   26.037 16.875 0.0009 17.928 0.015 15.857 0.004  4174.6832   -15.718 0.140   -12.776 0.132                  5.071  4.886  0.185 -0.876  8.381 0.072 2.919 2.926  0.016 0.592 0.070 0.012 7 0.007
