,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
618,842369534879768704,168.707524,52.79284499999999,0.00206,5.045,63.559,16.627,0.0006,17.994,0.01,15.465,0.003,1469.2797,-46.11600000000001,0.092,-10.302999999999999,0.125,1.983,1.042,0.941,-0.752,6.525,0.040999999999999995,0.325,0.34700000000000003,0.037000000000000005,0.643,0.035,0.008,7.0,0.0
619,2924991750710239872,99.009436,-22.787523,0.00148,5.622999999999999,180.899,15.199000000000002,0.0003,16.278,0.003,14.17,0.001,944.9784,37.044000000000004,0.032,-4.666,0.051,5.874,4.779,1.0959999999999999,-0.785,6.537000000000001,0.068,1.91,1.919,0.016,0.602,0.012,0.011000000000000001,7.0,0.0
620,2238010151167142528,300.080557,61.342387,0.00263,5.635,72.608,16.597,0.0008,18.033,0.013999999999999999,15.423,0.002,1681.9065,33.501,0.154,16.532,0.13,2.4730000000000003,0.758,1.715,-0.6679999999999999,6.5329999999999995,0.091,0.205,0.25,0.096,0.626,0.03,0.013000000000000001,7.0,0.0
621,3877073682543652352,155.04300600000002,10.040506,0.006,5.531000000000001,60.82,16.393,0.001,17.735,0.013999999999999999,15.259,0.003,3906.3506,-76.495,0.204,-97.089,0.16,2.312,0.604,1.7080000000000002,-0.631,6.403,0.08199999999999999,0.159,0.20800000000000002,0.11800000000000001,0.662,0.037000000000000005,0.013000000000000001,7.0,0.006
622,2316855515814976896,4.885032,-31.438594000000002,0.01385,5.907,92.755,16.366,0.0008,17.778,0.008,15.204,0.002,8438.3081,50.39,0.1,9.273,0.098,2.195,0.10400000000000001,2.092,-0.684,6.202000000000001,0.055,0.061,0.018000000000000002,0.055,0.632,0.024,0.011000000000000001,7.0,0.067
623,3803909670570803840,167.62211499999998,-0.564578,0.0038,5.419,44.255,16.156,0.0011,17.416,0.01,15.048,0.005,2523.6348,-72.321,0.141,4.698,0.125,2.5380000000000003,1.944,0.594,-0.725,6.4479999999999995,0.079,0.825,0.845,0.028999999999999998,0.629,0.048,0.01,7.0,0.0
624,714403252037918464,139.047906,34.584064,0.00317,6.47,172.92700000000002,14.182,0.0003,15.136,0.002,13.218,0.002,1762.6341,-92.475,0.051,-93.023,0.047,2.765,0.185,2.58,-0.6579999999999999,5.997000000000001,0.079,0.045,0.025,0.05,0.648,0.012,0.009000000000000001,7.0,0.0
625,32682433379919616,40.736678999999995,13.682,0.00099,5.1370000000000005,28.261,17.689,0.0022,19.237000000000002,0.051,16.473,0.006,693.4751,-2.497,0.27,-69.757,0.21899999999999997,2.3209999999999997,1.564,0.757,-0.769,6.757000000000001,0.05,0.8220000000000001,0.861,0.06,0.611,0.075,0.012,7.0,0.0
626,498275648683717504,85.956097,71.80844300000001,0.0049,5.305,79.325,16.307000000000002,0.0008,17.796,0.008,15.112,0.002,3324.4539,30.683000000000003,0.087,-76.964,0.10800000000000001,1.959,0.92,1.0390000000000001,-0.71,6.723,0.057999999999999996,0.28600000000000003,0.304,0.037000000000000005,0.643,0.027999999999999997,0.012,7.0,0.004
627,6881717147946243712,315.207018,-18.371918,0.00455,5.681,71.084,16.072,0.0007,17.322,0.006999999999999999,14.957,0.002,2882.3805,-4.863,0.126,16.779,0.091,2.7089999999999996,1.93,0.779,-0.732,6.403,0.047,0.629,0.642,0.023,0.648,0.03,0.01,7.0,0.002
628,2239070428271366656,295.453668,60.348169999999996,0.0018899999999999998,5.496,195.06099999999998,14.975,0.0005,16.070999999999998,0.005,13.932,0.002,1239.7688,0.003,0.055999999999999994,31.303,0.057,1.275,0.46399999999999997,0.8109999999999999,-0.705,6.519,0.054000000000000006,0.107,0.115,0.018000000000000002,0.653,0.011000000000000001,0.011000000000000001,7.0,0.0
629,3897219656142760320,175.937182,5.372332,0.00165,5.311,62.97,15.905999999999999,0.0013,17.405,0.013999999999999999,14.703,0.003,1120.7618,-22.478,0.153,-23.349,0.096,5.277,5.069,0.207,-0.83,6.436,0.042,2.272,2.272,0.01,0.619,0.033,0.009000000000000001,7.0,0.0
