designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 3168359514124570368,3168359514124570368,1.7704735,0.85934067,0.9111328,203.4719252562715,14.874234214171477
Gaia DR2 1695980364969402368,1695980364969402368,2.788538,1.5563622,1.2321758,108.04701897887945,41.84051747158667
Gaia DR2 2881808504545161344,2881808504545161344,2.2879992,1.2036877,1.0843115,112.47896237764611,-22.175982144994883
Gaia DR2 2413942495627225600,2413942495627225600,2.3589725,1.2499638,1.1090088,65.05231957669153,-75.93229266803347
Gaia DR2 2240410148829642624,2240410148829642624,2.2235546,1.1249466,1.098608,93.56447595256078,20.00550144558626
Gaia DR2 1705297699518331392,1705297699518331392,1.6482477,0.78859997,0.85964775,109.76385104172046,30.35967607385706
Gaia DR2 2821649790983695488,2821649790983695488,1.0084124,0.43122578,0.5771866,103.45378484644809,-42.85701867777718
Gaia DR2 2965898604083081728,2965898604083081728,1.80579,0.88511944,0.9206705,225.20406880534634,-22.062813717301385
Gaia DR2 1919259501187464832,1919259501187464832,1.7588434,0.8439884,0.914855,108.79809855269427,-22.766658444602236
Gaia DR2 1422646172350247936,1422646172350247936,1.366436,0.61785126,0.74858475,86.25174848052647,31.585572687265646
Gaia DR2 437400848111758080,437400848111758080,0.74816036,0.30478287,0.4433775,142.06193149599335,-10.7841667775106
Gaia DR2 1703620085292498816,1703620085292498816,2.130252,1.0971279,1.033124,109.7017021564836,37.00811472521799
Gaia DR2 839570006476251392,839570006476251392,1.8328552,0.8974018,0.9354534,149.57636236057436,59.90217276841158
Gaia DR2 6799661522880569856,6799661522880569856,1.9636269,0.98459816,0.9790287,15.94796555829248,-32.20230070557257
Gaia DR2 1460442163729708544,1460442163729708544,1.8593855,0.9153271,0.9440584,28.337506912803526,86.86942181481773
Gaia DR2 1028227235226310784,1028227235226310784,0.8526602,0.35074997,0.5019102,166.76311599648548,35.715263821745175
Gaia DR2 6913077899630145408,6913077899630145408,2.54677,1.3778877,1.1688824,41.23271234159411,-29.467230723128715
Gaia DR2 807156403689990400,807156403689990400,2.2422209,1.1620369,1.080184,177.83761312719093,52.581122818334585
Gaia DR2 3956995877097644416,3956995877097644416,1.561039,0.7384863,0.8225527,337.070765941579,85.8191233033144
Gaia DR2 6882634724759985664,6882634724759985664,1.8744307,0.92353725,0.9508934,29.258037991767495,-34.93615779679148
Gaia DR2 5089210760255189248,5089210760255189248,1.5074873,0.7015743,0.805913,220.32602493657274,-45.18710748122893
Gaia DR2 1291844699993817088,1291844699993817088,2.1922293,1.1368065,1.0554228,58.91376833509036,60.14012163606848
Gaia DR2 4896326733930418176,4896326733930418176,2.1597853,1.1114902,1.048295,222.03869109292532,-42.66386625642654
Gaia DR2 4191634132372768896,4191634132372768896,2.3281345,1.2336273,1.0945072,33.782833670256466,-21.739248599167947
Gaia DR2 3186119444411482112,3186119444411482112,2.2967434,1.2146187,1.0821247,204.4387267214877,-33.49943924333083
Gaia DR2 658633960692334720,658633960692334720,1.1466084,0.5025625,0.6440458,208.22388260764419,32.266186158955264
Gaia DR2 1276041797329413632,1276041797329413632,2.2334824,1.136097,1.0973854,47.00390876912227,61.01742210573134
Gaia DR2 313907653448139520,313907653448139520,2.0860338,1.0591469,1.0268869,127.77189186079272,-29.775599660636107
Gaia DR2 3063075121075240960,3063075121075240960,2.5894108,1.4229717,1.166439,230.73436562389338,16.314297738807976
Gaia DR2 1079523846413490944,1079523846413490944,2.661152,1.4583569,1.202795,128.86567156869398,40.73823890542753
Gaia DR2 1198432184963909632,1198432184963909632,1.364233,0.62210655,0.74212646,30.461756762414794,43.059243261023326
Gaia DR2 4464383144282253696,4464383144282253696,2.4822617,1.3315926,1.1506691,29.023112261937342,40.49833290951541
Gaia DR2 1881204304238716032,1881204304238716032,2.533924,1.3846035,1.1493206,88.64716604455981,-26.104440018083526
Gaia DR2 2155913436148781056,2155913436148781056,2.5489635,1.384634,1.1643295,90.67884513677481,23.05014932309185
Gaia DR2 3013870124602959104,3013870124602959104,2.3181286,1.1765957,1.1415329,212.1554560117853,-22.199551109683565
Gaia DR2 5122770913150583552,5122770913150583552,1.8127108,0.8866501,0.9260607,201.46744307777536,-72.78893073206672
Gaia DR2 607812883988234752,607812883988234752,2.1532488,1.1067562,1.0464926,213.25422580724856,37.44133624335232
Gaia DR2 1634204235443758848,1634204235443758848,2.5672474,1.395586,1.1716614,97.51441799404799,32.86737666254975
Gaia DR2 6620722808685709568,6620722808685709568,2.3485603,1.2414417,1.1071186,22.2080055114872,-58.92492319609518
Gaia DR2 2317568819688375808,2317568819688375808,2.4078636,1.283287,1.1245766,344.6943855856383,-85.01491204779094
Gaia DR2 4423974889369450752,4423974889369450752,2.3277283,1.2307167,1.0970116,7.909160966130065,43.407982264147215
Gaia DR2 908448981117410176,908448981117410176,2.7169952,1.5073433,1.209652,182.0582932449523,32.60473795030085
Gaia DR2 4563857198197000192,4563857198197000192,1.8902426,0.9379959,0.95224667,38.04603965986903,37.33018123062083
Gaia DR2 1311690060241044608,1311690060241044608,2.2471294,1.1652622,1.0818672,49.09941658771856,40.8538605924418
