4883949737694099968 4883949527238845568  60.838102  60.840214 -31.494884 -31.500611   1.854   1.359   63.497    2.050 15.416 20.264 0.0004 0.0071 16.072 20.134 0.003 0.077 14.640 20.429 0.002 0.091     8.688     6.193 0.041 0.970     1.270     3.473 0.054 1.248                                                     20.248        20.506                                 0.165       0.040                     2.308       1.791         1.987        0.321        -0.787         8.699       0.047       1.603       0.458       1.589       0.025       0.641       0.033       0.013   7 11655.9913 0.00600 1 0.102
6797061624556927488 6797060864346193664 305.261806 305.261960 -31.194769 -31.197106   2.037   1.620   47.785    2.118 14.649 19.909 0.0003 0.0067 15.157 19.729 0.001 0.078 13.998 19.999 0.001 0.105     9.696     9.472 0.062 1.104   -24.442   -24.146 0.044 0.866                                       19.737        19.951        20.148                     0.006       0.035       0.019                     6.495       1.105         6.299        0.196        -0.848         8.647       0.110       2.828       0.170       2.828       0.012       0.627       0.042       0.013   7  4134.9905 0.00234 1 0.007
1886622800620427392 1886622796323807872 346.932033 346.936079  31.152729  31.149745   2.078   1.693   78.697    2.600 14.555 20.141 0.0003 0.0065 15.084 20.097 0.002 0.058 13.887 20.161 0.001 0.078     7.276     5.711 0.046 1.181   -13.278   -14.045 0.037 1.076                                       19.945        20.190        20.502        20.615       0.012       0.018       0.024       0.048         0.721       2.777         0.481        0.240        -0.675         8.641       0.101       0.168       0.257       0.168       0.010       0.639       0.027       0.013   7  7916.3036 0.00457 1 0.060
3088764248187129728 3088764248187212672 116.091913 116.080043   2.920523   2.926248   2.788   1.702   55.498    2.181 15.917 20.368 0.0005 0.0054 16.853 20.325 0.005 0.062 14.950 20.455 0.001 0.073   -11.354   -10.076 0.085 1.582    -2.904    -3.734 0.046 0.933                                       20.304        20.505        20.619        20.715       0.015       0.043       0.077       0.089         1.073       4.150         0.166        0.907        -0.715         7.949       0.058       0.052       0.364       0.042       0.046       0.651       0.040       0.020   7 17000.8557 0.01316 1 0.165
3956523636852700928 3956523632557312128 193.915823 193.918902  22.837954  22.833441   1.887   1.705   25.741    5.140 16.706 19.285 0.0009 0.0034 17.628 19.183 0.009 0.033 15.761 19.529 0.003 0.048   -29.893   -29.109 0.154 0.713     2.705     1.877 0.092 0.440                                       19.081        19.456        19.763        19.994       0.008       0.014       0.011       0.032         1.580       1.881         1.532        0.048        -0.720         8.692       0.050       0.946       0.333       0.947       0.008       0.641       0.079       0.012   7 10170.8146 0.00533 1 0.087
2125307666699191168 2125307872857621504 272.849879 272.846292  52.540914  52.541225   2.045   1.808   24.667    6.059 17.128 19.370 0.0010 0.0045 18.156 19.211 0.011 0.072 16.127 19.463 0.005 0.060     5.521     5.958 0.164 0.540    11.653    11.807 0.191 0.725                                       19.183        19.512        19.810        19.972       0.012       0.010       0.010       0.032         2.136       1.673         2.051        0.085        -0.818         8.546       0.048       1.307       0.318       1.310       0.012       0.615       0.080       0.012   7  3879.7782 0.00220 1 0.006
1903746903949786112 1903746899652898944 340.863729 340.858247  36.200416  36.209838   2.362   1.876   22.661    2.518 17.025 20.073 0.0008 0.0058 18.052 20.097 0.013 0.049 16.024 20.345 0.002 0.093   -10.413   -10.029 0.100 0.736   -18.303   -18.313 0.142 1.177                                       19.924        20.156        20.373        20.490       0.019       0.024       0.016       0.049         1.768       1.937         1.502        0.266        -0.741         8.584       0.084       1.099       0.387       1.114       0.032       0.651       0.093       0.015   7 15861.6939 0.01041 1 0.152
1394056984538667904 1394056911523337472 232.042285 232.048160  43.527209  43.521576   1.525   1.957   28.056    4.401 16.358 19.917 0.0007 0.0056 17.127 19.853 0.006 0.063 15.508 20.008 0.004 0.094     0.827     0.997 0.081 0.701     7.018     6.276 0.136 1.206                                       19.681        20.018        20.255        20.512       0.018       0.016       0.031       0.100         3.619       1.470         3.549        0.070        -0.739         9.158       0.096       2.742       0.375       2.740       0.011       0.661       0.075       0.014   7 16669.8088 0.00706 1 0.161
4459375040618651776 4459377995556396288 249.607772 249.602818  12.172373  12.174390   1.533   2.003   24.408    2.392 16.651 20.529 0.0006 0.0074 17.481 20.472 0.006 0.087 15.754 20.530 0.002 0.108    -3.734    -0.940 0.079 1.371     4.307     4.156 0.062 0.983                                       20.346        20.608        20.898        20.830       0.015       0.021       0.036       0.046         3.237       1.505         3.030        0.208        -0.804         9.201       0.104       2.272       0.343       2.278       0.022       0.613       0.081       0.014   7 12319.4187 0.00525 1 0.108
1084738181524776448 1084738177228782720 118.542279 118.536870  61.030767  61.035465   2.050   2.062   90.041    3.177 13.298 19.982 0.0005 0.0076 13.635 19.933 0.003 0.065 12.802 19.957 0.002 0.096   -11.629   -12.260 0.035 1.009   -12.632   -11.234 0.032 0.941                                       19.811        20.004        20.231        20.349       0.015       0.017       0.016       0.039         5.362       1.184         5.143        0.219        -0.784         8.640       0.117       2.476       0.165       2.471       0.011       0.626       0.024       0.012   7  9445.3025 0.00538 1 0.079
6266570212164191616 6266570212164190336 232.123434 232.124800 -13.266187 -13.271308   2.556   2.064   20.899    3.268 16.821 19.755 0.0012 0.0064 17.920 19.802 0.019 0.059 15.773 19.830 0.007 0.096    21.145    22.168 0.194 1.121   -18.654   -17.996 0.128 0.709                                       19.683        19.817        19.987        20.184       0.012       0.022       0.012       0.018         8.043       1.013         7.705        0.339        -1.005         8.208       0.070       2.929       0.153       2.939       0.020       0.569       0.054       0.012   7  7451.6104 0.00529 1 0.053
5681379479269968128 5681379474974156672 140.158744 140.157971 -18.935185 -18.937745   2.296   2.095   26.037    4.190 16.875 19.585 0.0009 0.0040 17.928 19.479 0.015 0.053 15.857 19.565 0.004 0.071   -15.718   -14.821 0.140 0.785   -12.776   -12.958 0.132 0.743                                       19.429        19.669        19.916        20.103       0.006       0.012       0.018       0.027         5.071       1.233         4.886        0.185        -0.876         8.381       0.072       2.919       0.249       2.926       0.016       0.592       0.070       0.012   7  4174.6832 0.00266 1 0.007
