,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,RVel,e_RVel,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
10,1525120,232.123434,-13.266187,0.00529,2.556,20.899,16.821,0.0012,17.92,0.019,15.773,0.007,7451.6104,21.145,0.194,-18.654,0.128,0.0,0.0,8.043,7.705,0.339,-1.005,8.208,0.07,2.929,2.939,0.02,0.569,0.054,0.012,7,0.053
11,1345792,140.158744,-18.935185,0.00266,2.296,26.037,16.875,0.0009,17.928,0.015,15.857,0.004,4174.6832,-15.718,0.14,-12.776,0.132,0.0,0.0,5.071,4.886,0.185,-0.876,8.381,0.072,2.919,2.926,0.016,0.592,0.07,0.012,7,0.007
12,2082816,107.907532,40.546465,0.00434,3.049,43.58,16.416,0.0012,17.597,0.011,15.342,0.005,5123.1037,-5.396,0.128,-19.715,0.116,0.0,0.0,0.722,0.272,0.449,-0.692,7.792,0.073,0.069,0.071,0.03,0.666,0.049,0.014,7,0.012
13,907776,229.377275,23.103894,0.00965,2.802,45.798,16.093,0.0009,16.991,0.006,15.154,0.002,12391.3268,-10.209,0.099,-7.293,0.102,0.0,0.0,0.511,0.094,0.417,-0.699,7.895,0.066,0.04,0.011,0.033,0.643,0.048,0.013,7,0.108
14,2994816,148.427822,39.429375,0.00164,1.958,25.984,16.383,0.0007,17.23,0.005,15.481,0.002,3017.8987,-20.675,0.087,-21.121,0.092,0.0,0.0,4.711,4.507,0.203,-0.8,8.541,0.059,2.755,2.76,0.019,0.643,0.069,0.009,7,0.003
15,2836480,78.085051,2.313399,0.00755,1.699,44.66,11.902,0.0003,12.194,0.001,11.459,0.001,16002.628,2.919,0.065,-20.005,0.049,-27.137,1.233,8.634,8.493,0.14,-1.007,9.114,0.092,2.542,2.539,0.014,0.649,0.046,0.013,7,0.154
16,1372800,237.910956,41.95069,0.00173,2.075,26.664,17.43,0.0012,18.451,0.017,16.428,0.005,3006.3873,3.284,0.144,14.177,0.175,0.0,0.0,1.845,1.629,0.215,-0.794,8.475,0.065,1.216,1.222,0.023,0.622,0.079,0.011,7,0.003
17,3849344,118.911432,-0.327988,0.00708,2.307,45.088,15.83,0.001,16.735,0.007,14.895,0.003,11047.201,5.903,0.088,-23.008,0.056,0.0,0.0,3.931,3.721,0.21,-0.804,8.315,0.049,2.102,2.103,0.014,0.629,0.047,0.013,7,0.096
18,2316800,70.405715,-27.298078,0.00542,1.996,23.845,17.283,0.001,18.283,0.023,16.256,0.005,9774.1018,-8.532,0.105,-14.564,0.153,0.0,0.0,4.765,4.601,0.164,-0.902,8.564,0.068,2.952,2.956,0.019,0.637,0.078,0.013,7,0.083
19,967552,196.929844,20.952382,0.0033,1.951,24.398,16.677,0.0008,17.564,0.007,15.751,0.002,6087.2906,-1.923,0.197,-7.254,0.135,0.0,0.0,2.756,2.551,0.206,-0.779,8.629,0.073,1.803,1.81,0.023,0.634,0.081,0.013,7,0.031
20,734976,190.461059,-14.316573,0.00224,2.061,23.233,16.928,0.0008,17.978,0.006,15.905,0.002,3915.221,3.783,0.184,-3.632,0.088,0.0,0.0,1.942,1.578,0.364,-0.764,8.585,0.105,1.021,1.039,0.039,0.635,0.087,0.015,7,0.006
21,3572608,73.222363,68.948926,0.00137,2.267,46.517,16.108,0.0006,17.201,0.004,15.074,0.002,2182.9213,1.707,0.054,-14.17,0.074,0.0,0.0,5.395,5.14,0.254,-0.851,8.726,0.09,2.833,2.827,0.021,0.609,0.043,0.02,7,0.0
22,1160448,195.526654,8.476126,0.00797,2.078,71.093,14.572,0.0002,15.111,0.001,13.894,0.001,13806.1777,-13.604,0.063,-4.221,0.043,0.0,0.0,3.077,2.954,0.123,-0.801,8.496,0.05,1.937,1.934,0.009,0.628,0.031,0.012,7,0.127
23,1882880,102.052792,79.293892,0.01051,2.562,29.405,17.39,0.001,18.65,0.017,16.269,0.003,14765.809,6.67,0.126,-19.534,0.177,0.0,0.0,4.803,4.539,0.264,-0.885,8.095,0.076,2.761,2.761,0.026,0.615,0.064,0.014,7,0.139
24,1302656,78.333693,85.194615,0.00272,2.316,38.51,16.895,0.001,17.949,0.011,15.89,0.003,4236.2357,-11.342,0.105,-7.728,0.141,0.0,0.0,6.647,6.408,0.239,-0.903,8.393,0.077,2.893,2.894,0.019,0.61,0.052,0.015,7,0.008
25,1320576,187.277649,27.928795,0.00894,2.037,73.778,14.404,0.0003,14.97,0.002,13.709,0.001,15799.0539,-6.091,0.043,-8.482,0.036,0.0,0.0,4.488,4.172,0.317,-0.807,8.506,0.078,1.995,1.994,0.012,0.624,0.028,0.01,7,0.151
26,4232704,303.307528,62.332299,0.00163,2.533,27.122,17.264,0.0011,18.384,0.014,16.195,0.003,2314.7175,3.939,0.166,-36.457,0.176,0.0,0.0,5.113,5.019,0.094,-0.88,8.558,0.029,2.982,2.978,0.014,0.639,0.074,0.016,7,0.0
27,2105856,310.641308,4.529417,0.00854,2.569,80.683,14.409,0.0003,15.018,0.002,13.671,0.002,11964.7752,-10.116,0.053,9.7,0.043,0.0,0.0,2.928,2.468,0.46,-0.727,8.177,0.023,1.168,1.175,0.014,0.643,0.028,0.011,7,0.104
28,3344896,285.492165,55.019984,0.00399,2.85,64.896,16.275,0.0008,17.303,0.007,15.271,0.003,5035.1213,6.781,0.092,-2.59,0.096,0.0,0.0,1.503,0.781,0.722,-0.673,7.908,0.089,0.364,0.39,0.038,0.64,0.034,0.015,7,0.011
29,104832,125.633961,64.600071,0.00273,2.151,27.21,17.008,0.0007,18.071,0.008,15.978,0.003,4567.1492,-6.774,0.094,-1.767,0.107,0.0,0.0,5.524,5.348,0.176,-0.831,8.411,0.052,2.793,2.798,0.015,0.61,0.062,0.012,7,0.009
30,1068032,321.465996,-5.642772,0.00422,2.649,90.331,13.9,0.0004,14.397,0.005,13.263,0.002,5738.3527,30.216,0.059,9.619,0.05,0.0,0.0,4.22,4.07,0.15,-0.771,8.082,0.054,2.007,2.005,0.007,0.626,0.024,0.011,7,0.025
31,1236096,138.054439,-16.913423,0.00329,2.289,111.073,13.429,0.0003,13.835,0.003,12.877,0.001,5170.5911,-8.497,0.034,-10.962,0.037,0.0,0.0,3.195,3.126,0.07,-0.852,8.356,0.063,1.745,1.741,0.006,0.61,0.019,0.012,7,0.013
32,2002304,116.415576,34.722542,0.00255,2.584,71.395,14.03,0.0003,14.645,0.001,13.293,0.001,3557.9331,-6.359,0.052,-17.135,0.03,0.0,0.0,4.619,4.356,0.264,-0.831,8.109,0.107,2.138,2.137,0.012,0.634,0.03,0.012,7,0.005
33,2390400,35.106547,44.274354,0.00214,2.596,23.723,16.318,0.001,17.282,0.015,15.334,0.005,2963.1398,-9.864,0.206,-7.152,0.158,0.0,0.0,2.848,2.685,0.163,-0.782,8.141,0.064,1.692,1.7,0.018,0.656,0.08,0.012,7,0.002
34,793344,209.177014,69.567077,0.00532,2.471,22.534,17.605,0.0012,18.859,0.029,16.473,0.007,7754.7834,12.503,0.198,-3.957,0.159,0.0,0.0,1.577,1.392,0.185,-0.765,8.092,0.059,1.173,1.183,0.026,0.647,0.097,0.012,7,0.057
35,1626496,215.480875,20.168546,0.00134,2.415,20.998,17.183,0.0014,18.791,0.016,15.948,0.004,1991.6941,1.25,0.196,16.969,0.206,0.0,0.0,2.991,2.714,0.277,-0.742,8.172,0.08,1.887,1.905,0.029,0.639,0.09,0.011,7,0.0
36,5002624,241.33483,44.539103,0.00146,2.567,23.912,17.92,0.0016,19.167,0.023,16.804,0.005,2046.8196,-9.932,0.182,21.504,0.205,0.0,0.0,3.514,3.468,0.046,-0.803,7.953,0.034,2.178,2.179,0.006,0.569,0.079,0.008,7,0.0
37,85632,121.254481,73.474317,0.00159,2.707,22.58,17.97,0.0016,19.299,0.024,16.805,0.004,2109.0717,14.176,0.178,-13.326,0.206,0.0,0.0,1.797,1.32,0.478,-0.758,7.942,0.085,0.771,0.805,0.05,0.637,0.093,0.011,7,0.0
38,3546496,284.528659,66.051178,0.00213,2.712,124.686,12.453,0.0004,12.781,0.001,11.966,0.001,2825.9924,-4.108,0.074,18.996,0.049,-32.067,1.986,2.27,2.035,0.235,-0.759,7.967,0.101,1.12,1.111,0.014,0.646,0.017,0.016,7,0.002
39,1227904,273.971451,72.283135,0.00656,2.352,146.643,14.384,0.0004,14.872,0.004,13.718,0.002,10042.585,8.041,0.025,-1.242,0.036,0.0,0.0,2.915,2.866,0.049,-0.697,8.302,0.044,1.676,1.673,0.005,0.606,0.014,0.013,7,0.085
40,1811072,225.31049,39.540272,0.00349,2.438,131.274,13.902,0.0003,14.35,0.001,13.311,0.001,5151.8802,-6.561,0.025,13.432,0.028,0.0,0.0,5.017,4.918,0.098,-0.799,8.093,0.037,2.325,2.322,0.006,0.635,0.016,0.008,7,0.013
41,4637696,318.602576,29.728773,0.00833,2.51,64.047,11.036,0.0004,11.268,0.001,10.678,0.001,11948.7789,15.713,0.074,11.163,0.073,-17.82,1.381,3.568,3.159,0.409,-0.715,8.43,0.06,1.801,1.805,0.015,0.614,0.034,0.014,7,0.104
42,3956736,77.851781,-21.976203,0.00245,2.572,25.16,17.606,0.001,18.845,0.017,16.492,0.003,3427.1882,-14.812,0.135,-15.659,0.161,0.0,0.0,1.915,1.793,0.122,-0.784,8.036,0.067,1.049,1.055,0.016,0.636,0.084,0.011,7,0.004
43,1926656,244.567855,32.461432,0.00255,2.982,148.738,14.647,0.0003,15.296,0.002,13.883,0.001,3077.9683,-20.059,0.034,-4.382,0.037,0.0,0.0,1.229,0.389,0.84,-0.744,7.699,0.111,0.092,0.106,0.026,0.634,0.014,0.01,7,0.003
44,2337536,347.148442,31.538324,0.00122,2.262,21.588,17.24,0.0012,18.448,0.018,16.166,0.004,1936.4893,16.892,0.246,-2.591,0.141,0.0,0.0,7.96,7.61,0.35,-0.977,8.267,0.1,3.165,3.177,0.021,0.547,0.059,0.012,7,0.0
45,2723200,197.122415,47.001547,0.00466,2.664,21.305,17.821,0.0012,19.195,0.028,16.645,0.004,6292.5197,-7.888,0.141,-32.815,0.144,0.0,0.0,6.071,5.914,0.157,-0.908,7.833,0.031,3.017,3.023,0.014,0.593,0.069,0.008,7,0.035
46,979456,187.926958,22.177482,0.01042,2.209,70.576,13.435,0.0003,13.803,0.001,12.913,0.001,16976.8363,-4.169,0.044,-5.053,0.034,0.0,0.0,1.817,1.662,0.155,-0.77,8.333,0.051,0.631,0.63,0.008,0.593,0.029,0.01,7,0.164
47,6264320,113.397669,-5.911802,0.00165,2.292,62.226,15.301,0.0004,16.009,0.002,14.495,0.001,2584.4429,10.874,0.065,-3.395,0.05,0.0,0.0,9.814,9.646,0.168,-1.199,8.665,0.11,2.256,2.252,0.013,0.552,0.032,0.012,7,0.0
48,1522688,64.870206,-18.346201,0.00188,3.155,80.389,15.683,0.0004,16.616,0.003,14.737,0.001,2140.0785,35.503,0.056,10.01,0.052,0.0,0.0,2.565,1.908,0.657,-0.71,7.682,0.111,1.131,1.142,0.021,0.628,0.026,0.015,7,0.0
49,268160,128.2036,64.093938,0.00241,2.745,33.906,16.917,0.0007,18.11,0.009,15.834,0.003,3155.6311,10.892,0.109,-12.223,0.11,0.0,0.0,2.39,1.987,0.403,-0.774,7.989,0.051,0.916,0.933,0.026,0.64,0.061,0.011,7,0.003
50,3095168,238.007563,19.322737,0.01051,3.567,27.047,17.824,0.0013,19.249,0.023,16.63,0.003,10605.3675,-14.201,0.195,0.859,0.17,0.0,0.0,1.696,0.084,1.612,-0.637,7.384,0.098,0.151,0.015,0.147,0.624,0.081,0.016,7,0.091
51,2084608,112.15409,14.976697,0.00306,2.629,40.723,16.062,0.0009,16.921,0.006,15.151,0.003,4184.8552,-16.264,0.108,19.444,0.093,0.0,0.0,2.423,1.901,0.523,-0.765,8.111,0.102,0.905,0.922,0.029,0.642,0.053,0.012,7,0.007
52,647168,228.657846,70.902665,0.00462,2.22,23.522,17.82,0.0018,19.377,0.037,16.588,0.008,7485.0533,-13.134,0.184,18.844,0.178,0.0,0.0,5.816,5.613,0.203,-0.873,8.271,0.077,2.923,2.929,0.02,0.576,0.071,0.01,7,0.054
53,1912960,0.252197,39.670002,0.00181,3.022,32.406,16.219,0.0007,17.422,0.008,15.134,0.002,2157.7791,22.087,0.105,0.018,0.067,0.0,0.0,7.761,7.258,0.503,-0.949,7.846,0.088,2.919,2.93,0.022,0.609,0.049,0.012,7,0.0
54,1354240,0.276037,-19.104181,0.00248,2.822,21.044,17.258,0.0009,18.508,0.015,16.149,0.005,3163.3982,-21.896,0.222,-34.403,0.136,0.0,0.0,2.129,2.082,0.047,-0.752,7.777,0.034,1.445,1.448,0.008,0.62,0.101,0.01,7,0.003
55,2206336,279.443591,71.47473,0.00453,2.108,35.594,10.633,0.0003,10.813,0.001,10.349,0.001,7741.2929,-6.972,0.098,-23.197,0.11,-42.254,3.13,6.539,6.423,0.116,-0.912,8.512,0.186,2.877,2.873,0.013,0.597,0.052,0.014,7,0.057
