,Gaia2,Gmag,bp_rp,bp_g,g_rp,ra,de,PDis,plx,Sep,pmRA,pmDE,Age,e_Age,PreAge,e_PreAge,CoolAge,feh,DM,Av,Nb,PCont,l,b
20,66027876570225152,12.145928,1.4376926,0.66983414,0.7678585,60.908072,24.229297,0.0192,7.726,8712.6406,-23.376,-50.17,1.497,0.262,1.012,0.264,0.486,-0.735,5.568,0.009000000000000001,7,0.07,169.4484449460516,-20.81898520293341
21,67156177360191104,10.542112,1.2737637,0.58407784,0.6896858,59.59751899999999,25.650463,0.0043,14.607,1058.8203,119.681,-165.74900000000005,12.095,1.132,10.912,1.135,1.183,-1.396,4.931,0.246,7,0.0,167.47731204466191,-20.636947913703988
22,68501842153545728,17.682884,3.332489,2.00029,1.3321991000000002,53.779215,24.799175,0.04182,8.785,17138.7945,49.886,-67.678,5.5870000000000015,2.678,4.54,2.712,1.048,-0.852,5.931,0.102,7,0.166,163.84629503340236,-24.785786461596928
23,69421965883495680,14.289212,2.2552147,1.1807327,1.074482,54.63896,25.801316,0.0129,13.847,3432.3011,-30.19400000000001,-18.716,11.58,1.622,10.087,1.632,1.492,-1.236,4.877,0.07,7,0.005,163.78999543109157,-23.518592080618
24,70802299655353344,17.785458,2.7739868,1.559433,1.2145538,57.889454,27.569898,0.0085,4.329,7069.4173,32.368,0.634,1.575,0.226,0.606,0.295,0.968,-0.698,7.158,0.07400000000000001,7,0.047,164.88817429358676,-20.274650882014647
25,71218945840546816,15.336669,1.923871,0.958827,0.965044,53.991637,26.76341,0.00555,3.017,6625.9202,-10.365,-4.6560000000000015,11.958,1.406,11.455,1.408,0.502,-1.37,7.902,0.151,7,0.04,162.63280966716195,-23.15317477543005
26,72633433188872704,17.4725,2.9026623,1.6416035,1.2610588,35.44827100000001,11.159449,0.029210000000000007,7.926,13265.9449,-33.667,-68.19,6.001,2.256,4.559,2.287,1.442,-0.7559999999999999,5.945,0.086,7,0.12,155.70822394841642,-45.88344910825445
27,75004701812799104,12.242294,1.2228546,0.55279255,0.67006207,37.973208,14.214374,0.0032600000000000003,5.9220000000000015,2016.2257,-8.255,-19.491,3.79,1.185,3.544,1.1840000000000002,0.246,-0.752,6.228,0.046,7,0.0,156.55179455848113,-42.006556784492986
28,75596032910157440,10.360867,0.77912617,0.32591248,0.4532137,35.783488,14.139579,0.00399,6.777,2152.9595,9.66,-15.345999999999998,1.579,0.334,1.098,0.337,0.481,-0.732,6.312,0.163,7,0.0,154.0918151423237,-43.115783279629724
29,76977912867771264,10.921089,0.89277935,0.37862778,0.5141515999999999,30.283459000000004,13.683476999999998,0.00373,6.85,1960.1398,-2.08,-15.085,1.57,0.07200000000000001,0.368,0.08800000000000001,1.202,-0.639,6.0360000000000005,0.124,7,0.0,147.60804297497836,-45.8224193686386
30,82063944420505088,16.77899,2.608159,1.4200459,1.1881132,40.93049,17.278979,0.00106,3.216,1184.0741,7.015,-7.996,6.7479999999999976,2.656,6.659,2.656,0.08900000000000001,-0.898,7.681,0.279,7,0.0,157.64756996060845,-37.909465514232224
31,83247220794739840,16.880318,2.55159,1.3922633999999998,1.1593266000000002,39.077935,18.622877,0.006790000000000001,6.747000000000001,3622.627,-22.655,12.112,4.218,1.154,3.089,1.172,1.129,-0.74,6.136,0.086,7,0.005,154.86066020539738,-37.662221938807185
32,85552175123703808,17.120478,2.7626972000000003,1.538229,1.2244681999999998,41.944962,21.607469,0.00103,5.335,723.1476,7.099,-17.449,1.592,0.396,1.178,0.401,0.414,-0.818,6.404,0.043,7,0.0,155.84688650891115,-33.72368568533884
33,91690164426524288,11.636903,1.4635391000000002,0.6866760000000001,0.7768630999999999,27.092006,17.872391,0.00262,11.199000000000002,829.2612,59.889,-10.661,3.974,1.825,3.865,1.822,0.109,-0.8190000000000001,4.897,0.047,7,0.0,141.5694231984729,-42.92964393515405
34,93238895273066752,8.769716,0.7096214,0.29680157,0.41281986,31.277758,19.187467,0.00897,9.375,3268.5568,-47.843,-7.127999999999999,3.796,0.7929999999999999,2.41,0.809,1.386,-0.7240000000000001,5.4579999999999975,0.138,7,0.004,145.98744892199988,-40.36294294193301
35,98074964024562432,14.314592,2.5289182999999995,1.3770513999999998,1.1518669,26.965959,21.78542,0.0037,11.757,1121.3307,183.455,18.75,4.3660000000000005,1.0590000000000002,3.127,1.068,1.239,-0.767,4.935,0.069,7,0.0,139.91680177147987,-39.21810360400297
36,98159145383540992,15.567175,2.3630505,1.254427,1.1086235,27.847061,22.193017,0.00127,5.8329999999999975,783.3927,35.5,4.297,6.553,2.394,6.22,2.392,0.333,-0.826,6.215,0.036000000000000004,7,0.0,140.77200452004558,-38.59300478805171
